ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (mb),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0643,1.4884,9.7068,0.1592,1.1929,9.7359,-0.1048,-0.2753,0.219,-0.0911,0.244,-0.0476,1.6657,-9.57,-14.64,-52.13,134.98,-6.95,-1.57,2.0,986.46,61.019,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,5,2020-04-13 19:18:09:416
5.026,1.3406,8.486,-0.4413,0.0826,9.7997,0.3507,-0.6706,0.0399,-0.3904,-0.0183,-0.4731,2.3351,-7.83,-8.71,-51.42,131.97,0.36,2.67,2.0,986.45,48.937,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,506,2020-04-13 19:18:09:917
0.591,-1.1704,9.4563,-1.2499,-1.4937,9.6147,-0.8153,-0.24,-0.8873,-0.1405,-0.219,0.2594,4.5173,-4.38,2.89,-54.61,115.45,8.76,7.41,2.0,986.43,43.523,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,1006,2020-04-13 19:18:10:417
-1.6844,1.149,8.2922,0.0216,-0.6407,9.789,1.6127,-1.3712,0.4378,0.3602,-0.0589,-0.4794,3.8778,-9.37,-4.71,-52.25,133.35,3.74,-0.13,2.0,986.48,33.32,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,1506,2020-04-13 19:18:10:917
-1.2957,1.0872,10.0047,-0.0893,0.2151,9.8072,1.089,-0.9217,-0.0033,0.0055,0.2253,0.8747,2.1527,-11.33,-7.2,-51.46,122.81,-0.59,-1.08,2.0,986.44,52.465,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,2005,2020-04-13 19:18:11:416
0.401,-0.3469,9.1625,-0.1483,0.1528,9.8077,-1.0626,0.0549,1.0646,-0.2754,-0.0939,0.308,1.5641,-9.95,-1.25,-53.19,90.94,-0.89,0.87,2.0,986.45,61.145,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,2505,2020-04-13 19:18:11:916
0.6361,1.1449,9.8957,-0.7059,-0.315,9.7795,-1.2997,-0.8487,-1.4375,0.3768,0.1096,-0.2543,1.5641,-5.4,4.75,-52.83,69.38,1.84,4.13,2.0,986.48,61.179,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,3006,2020-04-13 19:18:12:417
-0.6965,1.2362,8.5708,-0.7078,0.2866,9.7802,0.3511,-0.872,1.3898,0.0958,-0.3895,0.0826,1.5641,-5.53,2.74,-54.92,65.25,-1.67,4.14,2.0,986.49,51.197,55.753483,48.741737,638.71,NaN,,,90.27743,,0 / 34,3505,2020-04-13 19:18:12:916
1.3076,0.4716,8.1449,0.0541,0.538,9.7951,-1.4211,0.2399,0.5521,0.0847,-0.0471,-0.3729,1.0562,-8.42,1.8,-52.65,57.52,-3.14,-0.32,2.0,986.45,55.241,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,0 / 34,4006,2020-04-13 19:18:13:417
-2.0297,-1.2825,10.1364,-1.0429,-0.6539,9.7325,-0.51,1.3933,-1.264,-0.6429,0.4841,0.3255,1.0562,-0.89,4.33,-53.54,86.45,3.82,6.12,2.0,986.45,46.259,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,0 / 34,4506,2020-04-13 19:18:13:917
0.3397,-1.1961,13.8974,0.1186,-0.9091,9.7671,-0.2225,-0.0598,-3.4557,-0.4933,-0.5881,-0.1542,1.0562,-6.17,3.35,-53.59,87.11,2.73,2.92,2.0,986.45,44.176,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,5006,2020-04-13 19:18:14:417
-0.6178,-0.7846,13.7647,-0.2645,-0.4855,9.7944,0.3822,0.0484,-2.85,-0.187,0.3876,0.0708,0.4467,-13.6,-0.48,-53.41,99.76,2.31,-1.61,2.0,986.45,38.616,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,5506,2020-04-13 19:18:14:917
-0.5212,0.7929,11.0067,-0.9181,-0.6269,9.7468,-1.1653,-1.1998,-0.7743,0.0929,-0.2828,0.0454,0.4467,-11.06,4.07,-55.02,88.01,3.66,5.38,2.0,986.43,47.347,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,6006,2020-04-13 19:18:15:417
0.0694,-0.7032,5.9965,0.8073,-1.0901,9.7158,0.4119,-0.4044,3.7024,0.1227,0.423,-0.2977,0.4467,-22.06,2.82,-50.55,99.21,6.38,-4.75,2.0,986.39,47.55,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,6506,2020-04-13 19:18:15:917
-0.7963,-2.8304,13.3104,-1.1182,-0.7795,9.7148,-0.6145,1.9745,-3.2304,0.6435,0.5965,0.4076,0.4467,-13.98,8.42,-55.7,88.07,7.68,4.61,2.0,986.33,40.109,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,7005,2020-04-13 19:18:16:416
0.2367,0.0956,12.7994,0.1348,-1.6621,9.6672,-0.2827,-1.062,-3.3097,-0.7278,-0.7291,0.1188,0.4467,-13.2,11.22,-47.17,65.04,4.77,2.8,2.0,986.31,45.97,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,7506,2020-04-13 19:18:16:917
0.3714,-0.1099,6.1477,0.861,-0.9068,9.73,0.0671,-0.5236,4.1847,0.3203,0.3941,-0.3235,0.4467,-14.2,7.8,-47.97,70.54,5.3,-5.06,2.0,986.3,53.197,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,8006,2020-04-13 19:18:17:417
-1.0769,-2.9778,10.3485,-1.57,-0.7125,9.6573,-0.183,2.8042,-1.1308,0.4367,0.3035,-0.1737,0.4467,-1.88,2.85,-53.59,94.6,4.17,9.23,2.0,986.29,55.386,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,8505,2020-04-13 19:18:17:916
-0.3325,1.1197,10.741,-0.8153,0.2896,9.7718,-0.8089,-1.0743,3.113,0.1458,-0.3653,-1.2185,0.4467,-7.7,-5.39,-53.51,106.82,-1.36,4.65,2.0,986.25,54.933,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,9006,2020-04-13 19:18:18:417
1.6331,0.6132,8.9715,-0.2624,0.37,9.7995,-1.8075,-0.4498,1.6347,-0.0522,0.0143,-1.235,0.4467,-8.73,-14.27,-52.17,141.77,-2.4,0.34,2.0,986.26,53.681,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 34,9505,2020-04-13 19:18:18:916
-1.3497,0.3299,9.9514,-0.8622,0.6761,9.7486,0.0394,0.3899,-0.2726,0.3392,0.0936,-0.9164,0.4467,4.54,-21.72,-51.12,181.52,-3.95,5.05,2.0,986.25,42.637,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 35,10006,2020-04-13 19:18:19:417
0.9919,0.6548,11.4086,-0.079,0.9417,9.7644,-1.05,0.1403,-0.7711,-0.0627,-0.2186,-1.1764,0.4467,8.26,-22.02,-51.78,200.07,-5.03,1.83,2.0,986.27,35.922,55.753635,48.741917,570.55,NaN,,0.0,142.1195,,4 / 35,10505,2020-04-13 19:18:19:916
-0.4513,0.966,11.2191,-0.4619,0.7192,9.7727,-0.3369,-0.7644,0.0305,0.0118,0.3169,-0.7488,0.4467,17.24,-12.84,-50.54,240.19,-4.04,0.75,2.0,986.26,51.894,55.753643,48.74192,574.8,NaN,,0.0,67.72859,,4 / 35,11006,2020-04-13 19:18:20:417
-0.6298,0.8325,10.4384,-0.4326,0.8734,9.7615,0.0926,-0.283,0.4207,0.252,-0.1093,-0.7432,0.4467,21.55,-10.15,-50.49,252.67,-4.42,3.04,2.0,986.26,60.492,55.753643,48.74192,574.8,NaN,,0.0,67.72859,,4 / 35,11506,2020-04-13 19:18:20:917
0.4756,-0.2192,7.9168,-0.1235,1.1104,9.7462,-0.3748,0.9008,2.3111,-4.0E-4,-0.0758,-0.8706,0.4467,20.91,-5.68,-50.9,270.11,-6.71,0.97,2.0,986.24,61.712,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 35,12006,2020-04-13 19:18:21:417
-1.8323,0.5459,8.9528,-1.0365,1.1107,9.6917,0.853,0.2465,1.2134,-0.2445,-0.0493,0.137,0.4467,23.64,-0.23,-48.87,291.56,-8.58,5.41,2.0,986.23,56.747,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 35,12505,2020-04-13 19:18:21:916
0.8986,0.235,12.1131,0.4389,0.6973,9.7753,1.2123,-0.3518,-1.4812,0.3073,0.0239,0.117,0.4467,17.34,-1.57,-51.81,274.86,-4.08,-2.57,2.0,986.23,59.561,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,6 / 35,13006,2020-04-13 19:18:22:417
0.9988,0.7995,12.8888,0.2223,0.2732,9.8037,-0.2257,-0.7825,1.5785,-0.3978,0.3241,0.0498,0.4467,18.1,0.01,-50.33,274.13,-1.6,-1.3,2.0,986.25,58.125,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,6 / 35,13505,2020-04-13 19:18:22:916
-1.2273,0.9192,6.4547,-0.4897,0.4771,9.7861,0.9167,-0.6954,3.3293,0.1062,0.0792,0.4129,0.4467,22.73,-1.54,-49.36,270.06,-2.31,2.88,2.0,986.2,59.956,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,6 / 35,14006,2020-04-13 19:18:23:417
0.3106,0.4509,7.661,0.266,1.0523,9.7498,0.0775,0.1631,3.6298,-0.0371,-0.4189,-0.2144,0.4467,17.39,-2.78,-49.67,277.23,-6.16,-1.56,2.0,986.2,57.764,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,6 / 35,14506,2020-04-13 19:18:23:917
-1.8431,-0.969,11.8573,-0.5354,-0.3029,9.7907,1.1542,-0.0393,-0.4578,-0.8938,-0.2228,0.7841,1.0054,21.54,0.51,-50.18,268.28,1.77,3.13,2.0,986.17,49.15,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,15007,2020-04-13 19:18:24:418
0.2339,0.3934,5.9437,0.1078,0.1717,9.8079,0.1038,0.3102,-0.2322,-0.0235,-0.1423,-0.3159,1.0054,19.84,-0.89,-51.32,269.69,-1.0,-0.63,2.0,986.17,60.959,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,15506,2020-04-13 19:18:24:917
-0.9198,0.2165,7.8786,-0.8355,0.4627,9.7634,1.118,-0.2196,-0.1091,-0.7488,-0.3741,0.5381,1.0054,23.43,-0.73,-49.06,274.26,-2.7,4.89,2.0,986.14,57.135,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,16006,2020-04-13 19:18:25:417
1.0751,-0.9212,10.1211,0.188,0.5116,9.7948,-0.67,1.1287,0.2262,-0.1193,-0.1581,-0.5349,1.0054,18.89,-5.44,-50.32,263.13,-2.99,-1.1,2.0,986.14,57.523,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,16505,2020-04-13 19:18:25:916
-0.9441,-0.5818,14.5539,-0.4608,0.4872,9.7871,0.1264,-0.1189,-3.3565,0.0231,0.1309,0.1165,1.0054,21.71,0.4,-51.25,276.76,-2.5,3.15,2.0,986.15,62.641,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,17006,2020-04-13 19:18:26:417
-0.5981,1.8135,10.2346,-0.4404,0.5813,9.7829,0.5994,-1.0589,-1.5246,0.1395,-0.4346,-0.7235,1.5133,22.67,1.43,-50.48,281.3,-3.13,4.42,2.0,986.09,64.087,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,17506,2020-04-13 19:18:26:917
1.134,0.4789,9.1704,-0.3567,0.6722,9.7804,-1.7469,0.3151,1.9039,0.1741,0.1267,-1.339,1.5133,17.4,4.95,-51.0,299.39,-3.93,2.09,2.0,986.1,63.497,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,18006,2020-04-13 19:18:27:417
0.2443,0.3261,8.3424,-0.9857,1.0297,9.7059,-0.7859,0.6709,1.2801,0.0604,-0.2804,-1.2456,1.5133,12.97,8.08,-51.24,329.89,-6.03,5.8,2.0,986.12,59.432,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,18505,2020-04-13 19:18:27:916
0.677,0.0249,10.2159,-0.5809,1.0751,9.7336,-0.5739,0.6849,-0.0072,-0.1952,-0.0606,-1.0806,1.5133,6.19,9.63,-50.71,352.17,-6.83,4.25,2.0,986.09,59.938,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,2 / 26,19006,2020-04-13 19:18:28:417
-0.6594,0.7037,9.5488,-1.0228,0.8494,9.7195,-0.6458,0.5979,-1.1759,0.3587,0.1747,-0.5353,1.5133,-0.26,7.47,-51.78,25.98,-4.99,6.17,2.0,986.08,61.272,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,2 / 26,19506,2020-04-13 19:18:28:917
-0.9835,0.1549,11.8618,-0.9754,0.6612,9.739,0.0444,0.5767,-1.75,0.4357,-0.077,-1.7542,0.9546,-5.71,2.64,-50.79,60.03,-3.86,5.72,2.0,986.11,57.789,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,2 / 26,20007,2020-04-13 19:18:29:418
-0.3877,0.7527,12.0368,-0.5571,0.4785,9.7825,-0.4782,-0.3414,-2.6397,-0.071,0.3948,-0.2499,0.9546,-9.23,-2.76,-51.83,92.35,-2.8,3.26,2.0,986.1,57.392,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,2 / 26,20506,2020-04-13 19:18:29:917
0.6551,0.686,9.2124,-1.0153,-0.088,9.7569,-0.4732,-0.9925,2.1495,0.6759,0.0233,0.0761,0.4467,-7.34,4.73,-50.83,78.72,2.75,6.87,2.0,986.09,54.909,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,4 / 26,21005,2020-04-13 19:18:30:416
-0.1665,1.2164,5.3946,0.2355,1.3524,9.7135,0.7779,0.9093,5.6633,0.081,0.7098,-0.602,0.4467,-15.75,-9.42,-49.83,105.39,-6.32,-4.48,2.0,986.06,59.827,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,4 / 26,21506,2020-04-13 19:18:30:917
-0.676,1.1112,5.423,-1.2836,0.094,9.7252,-0.6029,-0.9664,3.7784,-0.3915,-0.1231,0.8102,0.4467,-6.01,-1.5,-52.44,92.3,-0.55,7.52,2.0,986.07,54.229,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,22006,2020-04-13 19:18:31:417
0.4546,0.102,6.9371,-0.1884,0.0653,9.808,-0.491,-0.1675,2.6768,0.093,-0.1161,-0.3116,0.4467,-11.17,0.19,-52.32,85.67,-1.17,3.18,2.0,986.05,58.298,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,22506,2020-04-13 19:18:31:917
-0.7564,1.4834,6.6202,-0.7323,-0.2094,9.7804,0.0725,0.0682,-0.4736,-0.1138,0.0806,0.2211,0.4467,-10.36,-1.59,-54.02,91.91,-1.66,3.91,2.0,986.03,55.176,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,23006,2020-04-13 19:18:32:417
-0.3532,0.1021,7.4007,0.9622,0.5523,9.7471,0.487,0.7009,0.8627,-0.2898,-0.3459,-0.5832,0.4467,-17.0,-7.4,-50.89,96.7,-1.47,0.25,2.0,986.0,55.579,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,23506,2020-04-13 19:18:32:917
-1.209,0.8049,10.6319,0.0113,0.8118,9.7764,0.0281,1.1855,-3.0111,-0.3302,0.1689,0.3765,0.4467,-15.14,-11.02,-49.57,113.44,-6.03,-2.31,2.0,986.02,53.708,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,24006,2020-04-13 19:18:33:417
-0.5553,-0.4811,12.4627,-0.8694,-0.1706,9.7699,0.5504,0.5034,-4.3838,-0.1154,-0.3063,0.1023,0.4467,-8.07,-0.53,-50.46,91.02,-0.89,6.82,2.0,985.98,57.097,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,24505,2020-04-13 19:18:33:916
-0.7435,0.4754,10.5797,-0.7144,0.2642,9.7804,-0.4386,0.2205,0.7961,0.0016,0.3079,-0.2187,0.4467,-9.86,-1.88,-49.86,92.84,-1.54,4.18,2.0,985.97,54.225,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,25006,2020-04-13 19:18:34:417
-0.4777,0.0397,12.2216,-1.3317,-0.3891,9.7114,-1.5184,-0.8206,1.1412,0.1093,0.0413,-0.0569,0.4467,-7.35,4.52,-50.75,77.67,2.27,7.81,2.0,985.99,56.761,55.753647,48.741924,577.12,NaN,,0.0,60.572674,,5 / 26,25505,2020-04-13 19:18:34:916
-0.0301,0.4888,7.9592,-0.6081,0.1118,9.7905,-1.0152,-0.5913,3.1938,0.039,0.2778,-0.451,0.4467,-9.52,-2.31,-51.31,95.05,-0.95,3.58,2.0,985.94,50.816,55.75364,48.74192,582.93,NaN,,0.0,71.99285,,5 / 26,26006,2020-04-13 19:18:35:417
-0.3864,0.3314,6.4404,-1.3423,0.1552,9.7165,-0.979,-0.0693,3.1771,0.2809,-0.0231,-0.5648,0.4467,-5.42,-2.82,-52.23,100.31,-0.91,7.87,2.0,985.93,57.761,55.75364,48.74192,582.93,NaN,,0.0,71.99285,,5 / 26,26506,2020-04-13 19:18:35:917
-1.4489,0.9098,12.0655,-0.6583,0.4149,9.7791,0.6555,-0.2473,-2.0901,0.3681,-0.1139,-0.6745,0.4467,-7.04,-9.18,-51.49,123.39,-2.42,3.85,2.0,985.92,60.316,55.75363,48.741924,582.94,NaN,,0.0,53.018,,6 / 26,27006,2020-04-13 19:18:36:417
-0.1224,2.0191,8.995,-1.1459,0.9096,9.7003,-1.8154,-0.3597,-0.4474,0.2073,0.0567,-0.9782,0.4467,-4.58,-14.59,-51.4,140.47,-3.7,5.28,2.0,985.9,56.639,55.75363,48.741924,582.94,NaN,,0.0,53.018,,6 / 26,27506,2020-04-13 19:18:36:917
-0.8821,0.365,8.3137,-1.7128,1.1043,9.596,-0.6513,0.5417,0.6789,-0.1431,-0.431,-1.1654,0.4467,8.52,-21.96,-50.95,179.64,-6.46,10.12,2.0,985.89,55.251,55.75363,48.741924,582.94,NaN,,0.0,53.018,,6 / 26,28007,2020-04-13 19:18:37:418
0.9606,-0.4914,9.7333,-0.9321,0.9069,9.7234,-1.8531,0.9805,0.6364,-0.0981,0.0211,-0.7313,0.4467,14.44,-18.07,-52.57,214.49,-5.3,5.48,2.0,985.92,52.537,55.75363,48.741924,582.94,NaN,,0.0,53.018,,6 / 26,28506,2020-04-13 19:18:37:917
-1.4282,-0.6399,13.7169,-1.8326,0.7746,9.6061,-0.3505,-0.1597,-0.6887,0.0898,-0.2151,-0.6872,0.4467,22.98,-12.84,-50.66,238.76,-3.93,8.4,2.0,985.89,60.291,55.75363,48.741924,582.94,NaN,,0.0,53.018,,6 / 26,29007,2020-04-13 19:18:38:418
